2025-08-22 23:53:56,450 | INFO | backtest.cli | run_id=20250822_235356_0bcfbde4
2025-08-22 23:53:56,468 | INFO | backtest.trace | env.json yazıldı: artifacts/20250822_235356_0bcfbde4/env.json
2025-08-22 23:53:56,469 | INFO | backtest.trace | config.json ve inputs.json yazıldı
❌ Satır 2 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 3 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 4 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 5 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 6 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 7 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 8 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 9 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 10 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 11 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 12 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 13 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 14 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 15 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 16 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 17 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 18 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 19 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 20 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 21 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 22 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 23 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 24 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 25 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 26 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 27 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 28 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 29 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 30 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 31 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 32 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 33 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 34 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 35 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 36 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 37 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 38 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 39 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 40 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 41 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 42 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 43 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 44 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 45 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 46 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 47 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 48 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 49 | DF002 | DSL hatası: Yasak BinOp
❌ Satır 50 | DF002 | DSL hatası: Yasak BinOp
